title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
Judge Dredd,5.773,2184,1995-06-30,113493481,96,90000000,28.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Edward Scissorhands,7.716,12049,1990-12-07,53000000,105,20000000,37.283,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Open Range,7.184,945,2003-08-29,68296293,139,22000000,23.061,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Hard Candy,6.822,2348,2005-01-14,7022209,103,950000,17.414,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Hannah Montana: The Movie,6.603,1907,2009-04-10,155545279,102,35000000,18.833,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
Christmas Switch 2022,10.0,1,2022-12-23,10,76,740,0.6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Naked,4.063,17,2000-12-15,24,94,25,2.654,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9 Bullets,5.088,91,2022-04-14,193908,96,3000000,25.474,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Smokin' Aces,6.474,1490,2006-12-09,57103895,109,17000000,15.32,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Legend of Kung Fu Rabbit,3.5,10,2011-07-11,3699225,89,19000000,6.197,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ice Station Zebra,6.179,145,1968-10-23,4600000,148,8000000,15.38,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22 Female Kottayam,7.4,28,2012-04-13,500000,122,400000,2.688,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Wolf,6.1,817,1994-06-17,131002597,125,70000000,17.904,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
Mountains of the Moon,5.6,16,2013-12-20,3100000,149,2300000,3.122,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ad Astra,6.1,6143,2019-09-17,127461872,123,87500000,11.084,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Red Eye,6.382,1777,2005-08-19,57891803,85,26000000,24.096,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
The Ballad of Sheep 13,10.0,1,2004-08-16,905,2,905,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Yellow Handkerchief,6.2,130,2009-11-19,317000,102,15000000,8.065,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Bad Ben: The Mandela Effect,4.3,7,2018-06-18,110000,67,300,1.317,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Affair of the Necklace,5.519,78,2001-11-30,1198113,118,30000000,9.403,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Grindhouse,6.981,1519,2007-04-06,25422088,191,67000000,12.037,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Outside the Law,6.632,184,2010-09-21,3470487,137,30000000,5.003,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
To Die,10.0,1,2020-06-08,1100,0,500,0.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Say Uncle,5.429,14,2006-06-23,5361,91,650000,3.088,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Baggage Claim,5.309,181,2013-09-27,22456509,96,8500000,11.75,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Inhale,5.968,108,2010-08-27,55089,100,10000000,7.962,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
A Haunted House,5.871,1706,2013-01-11,60141683,86,2500000,33.048,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bülbül Yuvası,8.0,1,1961-01-03,105000,0,55000,0.63,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Stalingrad,6.53,312,2013-10-09,68129518,131,30000000,0.681,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Dead & Buried,6.407,244,1981-05-29,216166,94,3000000,10.09,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
I Feel Pretty,6.41,1936,2018-04-19,94539426,110,32000000,26.655,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001: A Space Odyssey,8.076,10575,1968-04-02,71923560,149,12000000,48.932,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Highlander,6.886,2348,1986-03-07,12885193,116,16000000,38.696,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mummies,7.193,373,2023-01-05,34200000,88,12300000,71.229,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Auto Focus,6.41,167,2002-10-18,2062066,104,7000000,10.532,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ghosts of the Abyss,6.851,174,2003-04-10,17040871,61,13000000,12.803,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Sniper,5.857,63,2009-03-24,329945,90,30000000,10.738,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Maze Runner: The Scorch Trials,6.7,9669,2015-09-09,312296056,131,61000000,42.487,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Elephant Tales,5.5,1,2006-10-24,33,92,7,0.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tom, Dick and Harry",5.1,14,1941-06-13,1628000,87,806000,3.461,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Bones and All,7.135,1019,2022-11-18,14134907,131,18000000,22.262,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Beethoven's 2nd,5.5,898,1993-12-14,118243066,89,15000000,16.944,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Thank You for Your Service,6.512,326,2017-10-26,9438370,109,20000000,13.722,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Turner & Hooch,6.349,1173,1989-07-28,71079915,100,13000000,11.46,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Shanghai Noon,6.407,2299,2000-05-26,99274467,110,55000000,18.457,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Last Starfighter,6.596,612,1984-07-13,28733290,101,15000000,15.361,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Rose,6.623,106,1979-11-07,29174648,125,9250000,9.546,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Friday the 13th,6.391,2599,1980-05-09,59754601,95,550000,55.874,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),7.0,9654,2020-02-05,205372791,108,75000000,49.33,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thelma,6.86,920,2017-09-15,1471656,116,5741614,12.27,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Knock at the Cabin,6.351,1828,2023-02-01,54708659,100,20000000,68.135,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Stoker,6.659,2078,2013-02-28,12077441,99,12000000,16.614,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Albert Nobbs,6.32,433,2011-12-21,5634828,113,8000000,12.059,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Lies We Tell But the Secrets We Keep Part 3,10.0,1,2014-09-22,25000,120,25000,0.6,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Spiral Staircase,7.0,209,1946-02-06,2800000,83,750000,10.462,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Cebiche de Tiburón,2.2,4,2017-02-02,45150,105,15454,1.05,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Break Ke Baad,5.833,36,2010-11-25,427628,120,2600000,3.442,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
The Karate Kid,7.181,3798,1984-06-22,130442786,126,8000000,33.435,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
The Ref,6.529,290,1994-03-09,11439193,97,11000000,11.641,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
English Vinglish,7.177,232,2012-09-21,11620000,134,2840000,7.442,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Austin Powers: International Man of Mystery,6.553,3084,1997-05-02,67711748,94,16500000,24.971,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Crossing Over,6.126,326,2009-02-10,1037335,113,25000000,15.998,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kabaddi,9.0,1,2014-04-04,201578,123,28220,1.09,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Doggie Tails, Vol. 1: Lucky's First Sleep-Over",5.7,6,2003-01-01,105,30,100,1.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lara Croft: Tomb Raider,5.879,5705,2001-06-11,274703340,100,115000000,32.121,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Bachelor Party,5.7,11,2012-07-15,2000000,120,1950000,2.165,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Bridges: The Story Continues...,6.9,11,2012-11-11,2500000,72,500000,1.346,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prem Ratan Dhan Payo,5.495,96,2015-11-11,67000000,164,23400000,8.659,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Agneepath,6.445,127,2012-01-25,28000000,174,8700000,9.138,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Big Sleaze,9.0,1,2010-06-28,1000,105,5000,1.181,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Women Of Warriors VI,8.0,1,2018-08-11,134425,74,2334,0.642,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Trailer Park Boys: Live at Red Rocks,10.0,1,2020-12-25,123,72,25000,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oops! There's Dad,7.5,1,2005-07-28,1660000,92,660000,0.6,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Morgan,5.774,1367,2016-09-01,8810591,92,8000000,12.783,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Captive,5.786,28,2012-09-05,24591,120,11180,2.58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"52Hz, I Love You",4.8,8,2017-01-26,1500000,109,2650000,1.633,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Hoop Dreams,7.631,275,1994-09-12,7830611,174,700000,6.954,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Life of Brian,7.751,3990,1979-08-17,20745728,94,4000000,33.204,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Broken Hearts Club: A Romantic Comedy,6.533,76,2000-02-01,1744858,96,1000000,12.828,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
The Ice Storm,6.849,584,1997-02-05,8038061,112,18000000,16.734,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Vanakkam Chennai,6.2,9,2013-10-11,11000000,151,1500000,1.806,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mama,6.248,3896,2013-01-17,146497771,100,15000000,35.435,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sunshine Superman,6.6,27,2015-05-22,88097,100,400000,1.574,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kantara,7.352,64,2022-09-30,60447800,147,1934000,7.281,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
VFW,5.89,205,2019-09-21,23101,92,1000000,9.077,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Two Brothers,7.134,773,2004-04-07,62172050,109,74500000,15.808,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Undercurrent,10.0,1,,2000,12,1000,0.93,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Batman: Mask of the Phantasm,7.486,967,1993-12-25,5617391,76,6000000,20.015,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Den,6.0,311,2013-12-12,410129,76,500000,7.605,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Reverb,10.0,1,2014-12-20,1000,16,4000,0.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Night of the Living Dorks,5.59,72,2004-11-03,2107861,90,4410000,5.581,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hairspray,6.857,378,1988-02-26,6671108,92,2000000,16.952,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Kama Sutra: A Tale of Love,5.691,157,1996-09-11,4109095,117,3000000,21.291,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Varalaru,6.3,14,2006-10-20,500000,157,500000,3.593,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A Midsummer Night's Dream,6.4,328,1999-05-14,16071990,116,11000000,13.194,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Wet Hot American Summer,6.296,721,2001-07-27,295206,97,5000000,9.95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hideaway,5.062,129,1995-03-03,12201255,103,15000000,8.492,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Wooden Slippers (2007),10.0,1,,500000000,33,100,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halloween H20: 20 Years Later,6.022,1473,1998-08-05,75000000,86,17000000,23.883,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Human Comedy,10.0,1,2017-06-16,10000,100,10000,1.127,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Halloween 5: The Revenge of Michael Myers,5.359,1063,1989-10-12,11642254,97,3000000,26.642,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
The Barretts of Wimpole Street,6.2,15,1934-09-21,1258000,109,820000,4.224,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Beauty and the Beast,6.967,14871,2017-03-16,1266115964,129,160000000,56.226,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Fantastic Four: Rise of the Silver Surfer,5.592,7381,2007-06-13,301913131,92,130000000,30.047,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
The Shipping News,6.3,340,2001-12-18,24690441,111,38000000,12.739,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
A Damsel in Distress,6.367,30,1937-11-19,1465000,101,1035000,4.223,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Keeping Up with the Joneses,6.1,1878,2016-10-20,29918745,105,40000000,14.168,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ticket to Paradise,6.6,840,2022-09-08,168763270,104,20000000,20.569,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Moonwalker,6.875,488,1988-10-29,67000000,93,22000000,15.794,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Aitraaz,5.7,47,2004-11-12,9250000,159,3500000,6.849,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Women at Work,8.0,1,2005-02-26,1000,60,1000,1.195,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guardians of the Galaxy,7.906,26638,2014-07-30,772776600,121,170000000,33.255,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Vera Drake,7.153,321,2004-10-22,13300000,125,11000000,14.779,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Purple Rain,6.682,330,1984-07-27,68392977,111,7200000,19.427,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Parents,5.771,146,1989-01-27,870532,81,3000000,11.607,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dead Presidents,6.663,264,1995-10-06,24147179,119,10000000,17.014,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Happily N'Ever After,5.0,398,2007-01-05,38085778,87,47000000,17.784,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Child's Play 2,6.237,1621,1990-11-09,35763605,84,13000000,38.325,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
The Hero,6.202,57,2019-09-26,2889720,120,4065470,6.202,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Smithereens,4.8,13,2011-10-06,403557,89,400,1.731,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Let's Try Again,4.0,1,1934-07-06,183,67,250,0.976,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Training Day,7.485,5360,2001-10-05,104876233,122,45000000,30.21,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Private Parts,6.447,309,1997-03-07,41230799,109,28000000,9.854,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Silverado,6.97,629,1985-07-10,32192570,133,23000000,22.456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Annette,6.765,608,2021-07-06,3642692,140,15500000,10.471,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
20th Century Boys 1: Beginning of the End,6.759,85,2008-08-19,31244858,142,20000000,12.066,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
The Prodigy,6.14,902,2019-02-06,21150265,92,6000000,13.448,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Beverly Hills Cop,7.185,3631,1984-12-05,316360478,105,14000000,26.61,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Book of Life,7.533,2444,2014-10-01,97437106,95,50000000,46.433,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Devil's Own,6.15,1075,1997-03-13,140807547,107,90000000,16.725,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Veronica Mars,6.61,1000,2014-03-13,3485127,107,6000000,14.733,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Summer Catch,5.359,173,2001-08-22,19693891,104,34000000,8.677,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Wisdom,5.925,40,1986-12-31,5715174,109,6500000,4.657,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hitman,6.085,3023,2007-11-21,99965753,89,24000000,29.882,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Mrs Palfrey at The Claremont,6.793,29,2005-11-25,1720953,108,750000,5.875,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Love Me Tender,6.169,74,1956-11-15,9000000,89,1000000,7.654,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
Virus,5.358,530,1999-01-14,30700000,99,75000000,13.383,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Terminator: Dark Fate,6.455,4652,2019-10-23,261119292,128,185000000,39.447,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
O Kadhal Kanmani,6.8,48,2015-04-16,5100000,139,940000,4.382,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
My Friend Frankenstein,7.0,5,1975-01-01,100000,80,55000,0.671,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Neerja,7.321,207,2016-02-19,17618280,122,2900000,8.76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Fashion Chicks,5.859,71,2015-12-02,1500000,93,450000,4.432,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killer of Sheep,6.456,103,1978-11-14,362222,80,100000,7.522,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P.S. I Love You,7.19,3124,2007-11-15,156835339,126,30000000,28.691,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Old,6.387,3856,2021-07-21,90146510,108,18000000,39.363,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Danny Collins,6.761,476,2015-03-19,10835752,107,10000000,9.479,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
It Comes at Night,5.841,2167,2017-06-09,19280931,91,5000000,11.458,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
Everything Everything Nothing Nothing,5.23,252,2012-11-30,8927600,87,5579750,5.537,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The X Files: I Want to Believe,5.747,1350,2008-07-24,69363381,104,30000000,20.952,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
Seven Minutes in Heaven,6.0,34,1985-05-09,31430,88,31430,4.195,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Beowulf,5.889,2609,2007-11-05,195735876,115,70000000,27.464,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rollerball,3.998,434,2002-02-08,25852764,98,70000000,9.583,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Night Shift,6.0,4,2015-01-01,50000,90,15000,0.64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Crocodile Dundee,6.385,1719,1986-09-26,328203506,104,5000000,17.847,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balkan Line,7.662,291,2019-03-21,4944386,130,3500000,24.684,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Jodhaa Akbar,7.321,218,2008-02-13,28700000,213,5800000,14.152,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
The Place Beyond the Pines,6.963,4535,2013-03-14,47135966,140,15000000,24.548,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fidaa,7.0,24,2017-07-20,7000000,145,2100000,4.851,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Matchstick Men,6.985,1561,2003-09-12,65565672,116,62000000,11.439,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Mission to Mars,5.969,1288,2000-03-10,60874615,114,90000000,18.594,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Lilya 4-ever,7.643,482,2002-08-23,1007747,109,4600000,25.136,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gnomeo & Juliet,5.85,1809,2011-01-13,189712432,84,36000000,25.847,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Iron Man,7.64,24874,2008-04-30,585174222,126,140000000,72.897,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The New World,6.5,1043,2005-12-25,30536013,151,30000000,15.528,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Doctor Dolittle,6.08,156,1967-12-05,9000000,152,18000000,19.057,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
That's My Boy,5.785,1731,2012-06-14,58058367,116,70000000,58.135,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caucasian Spirituals,10.0,1,,1000,26,400,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crawl,6.312,2858,2019-07-11,91542097,88,13500000,32.163,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Fightin' Fools,6.0,2,1941-02-25,31,9,23,1.001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frankenweenie,6.944,3024,2012-10-04,81493846,87,39000000,28.901,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hercules,7.501,6823,1997-06-20,252712101,93,85000000,57.069,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Fletch Lives,5.979,260,1989-03-17,35150960,95,8045760,10.241,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A Cinderella Story,6.5,3004,2004-07-16,70067909,95,19000000,26.336,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Werewolves Within,6.054,437,2021-06-25,937490,97,6500000,14.105,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ant-Man,7.082,18730,2015-07-14,519311965,117,130000000,37.692,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fight Club,8.438,27238,1999-10-15,100853753,139,63000000,69.498,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
S. Darko,4.43,432,2009-04-28,4100000,103,4000000,13.951,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
What's Your Number?,6.494,2184,2011-09-30,30426096,106,20000000,16.737,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Never Talk to Strangers,5.1,150,1995-10-20,6858261,86,6400000,9.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Thank Your Lucky Stars,6.3,29,1943-09-25,3621000,127,1568000,4.353,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mata Hari,6.106,47,1931-12-26,2227000,89,558000,3.824,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Gods and Generals,6.231,158,2003-02-21,12923936,219,56000000,9.144,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
The Legend of Qin,7.667,3,2014-08-08,8336207,90,5572000,0.684,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Live by Night,6.253,1215,2016-12-25,22678555,129,108000000,15.982,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Laura,7.653,704,1944-10-11,2000000,88,1020000,14.557,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Beginners,6.849,951,2010-09-16,14311701,105,3200000,11.91,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
The Zookeeper's Wife,7.363,1414,2017-03-24,26152835,126,20000000,14.515,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Funny Farm,6.1,234,1988-06-03,25537221,101,19000000,8.871,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
