title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
Along Came a Spider,6.332,1702,2001-04-06,105178561,104,60000000,31.674,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Fascination,3.4,15,2004-10-13,16670,95,5000000,4.199,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Uncle Buck,6.775,1047,1989-08-16,79258538,100,15000000,21.462,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
How to Lose a Guy in 10 Days,6.754,3496,2003-02-07,177502387,116,50000000,22.124,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Human Traffic,6.747,305,1999-06-04,4000000,99,600000,8.734,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Madame President,5.5,2,2012-03-30,290000,86,300000,0.917,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Informer,6.513,720,2019-08-30,2927708,109,60000000,13.219,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Killing Them Softly,6.049,1975,2012-07-30,37930465,97,15000000,18.053,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kissing Jessica Stein,6.005,196,2002-03-13,10013424,97,1000000,12.627,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramayya Vasthavayya,4.0,6,2013-10-10,4300000,166,4200000,3.224,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Please Don't Eat the Daisies,6.159,63,1960-03-31,5150000,112,1775000,7.337,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Cine de Emboscada,10.0,1,2017-06-26,200,0,200,0.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maid in Manhattan,6.098,1755,2002-12-13,154906693,105,55000000,21.194,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Cowboys & Aliens,5.588,4718,2011-07-29,174822325,119,163000000,26.069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Wimbledon,6.175,907,2004-09-13,41512007,98,31000000,11.604,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Red Heat,6.183,1311,1988-06-17,34994648,104,29000000,21.615,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Adventures of Marco Polo,5.9,11,1938-04-07,1700000,104,2000000,3.792,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Anna and the King,6.748,700,1999-12-16,113996937,148,75000000,14.761,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Titian – The  Empire of Color,8.0,1,2022-10-03,428,88,568000,1.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Beautiful,4.977,43,2009-04-27,56000,97,1500000,5.257,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Ruby in Paradise,5.9,30,1993-10-08,1001437,114,800000,3.848,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
